"Open","Abrir"
"Actions","Acciones"
"Poll Manager","Administrador de Encuesta"
"Add New Poll","Agregar Encuesta"
"Add New Answer","Agregar Nueva Respuesta"
"Add Answer","Agregar Respuesta"
"Assigned Answers","Asignación de Respuestas"
"Are you sure you want to delete it?","¿Estás seguro que lo quieres eliminar?"
"Closed","Cerrado"
"Votes Count","Conteo de Votos"
"Votes Count:","Conteo de Votos:"
"Delete","Eliminar"
"Delete Poll","Eliminar encuesta"
"Delete Answer","Eliminar Respuesta"
"Community Poll","Encuesta comunitaria"
"Poll with the same question","Encuesta con la misma pregunta"
"New Poll","Encuesta nueva"
"Status","Estatus"
"Date Closed","Fecha de Cierre"
"Date Posted","Fecha de envío"
"Save Poll","Guardar Encuesta"
"Save Answer","Guardar Respuesta "
"ID","ID"
"Poll information","Información de la encuesta"
"Poll Information","Información de la Encuesta"
"Poll not exists","La encuesta no existe"
"Answer was successfully saved","La respuesta se guardado exitosamente"
"Edit Poll '%s'","Modificar Encuesta '%s'"
"Edit Answer '%s'","Modificar Respuesta '%s'"
"Edit Poll Answer","Modificar Respuesta de Encuesta"
"Number of Responses","Número de respuestas"
"Unable to find answer to delete.","No se puede encontrar la respuesta a suprimir."
"Poll Question","Pregunta de Encuesta"
"Disallow voting in a poll multiple times from same IP-address","Prohibir votar más de una vez para la misma derección IP"
"Answer with the same title in this poll","Respuesta con el mismo título en esta encuesta"
"Invalid Answer","Respuesta no válida"
"Poll Answers","Respuestas de la Encuesta"
"Answer Title","Título de Respuesta"
"Answer Title:","Título de Respuesta:"
"Visible In","Visible En "
"Vote","Votar"
