"Alert Email Sender","Alerta de Email del Remitente"
"Product stock alert","Alerta de existencias de Producto"
"Product price alert","Alerta del precio del producto"
"Product Alerts","Alertas de productos"
"Product Alerts Run Settings","Configuración de Ejecución de Alertas de Productos"
"Unsubscribe from all stock alerts","Dejar de recibir alertas de existencias"
"Unsubscribe from all price alerts","Dejar de recibir alertas de precios"
"Error Email Recipient","Email del Destinatario de Error"
"Error Email Sender","Email del Remitente de Error"
"Product alerts Cron error","Error de Cron de alertas de producto"
"Frequency","Frecuencia"
"Click here not to receive alerts for this product","Haga clic aquí para no recibir alertas de este producto"
"Start Time","Hora de inicio"
"Alert subscription was deleted successfully","La Suscripción de Alerta se ha eliminado con éxito"
"Alert subscription was saved successfully","La Suscripción de Alerta se ha guardado con éxito"
"Not enough parameters","No hay suficientes parámetros"
"Allow alert when product comes back in stock","Permitir avisar cuando el producto entra en existencia"
"Allow alert when product price changes","Permitir avisar cuando los precios de los productos cambien"
"Price alert Email Template","Plantilla de Aviso de Precio por E-mail"
"Stock alert Email Template","Plantilla de Email de aviso de existencias"
"Error Email Template","Plantilla de Email de Error"
"Please try again later","Por favor, inténtelo de nuevo más tarde"
"Special price:","Precio especial:"
"Price:","Precio:"
"Product not found","Producto no encontrado"
"Sign up to get notified when this product is back in stock","Regístrese para ser notificado cuando este producto esté en existencias"
"Sign up for price alert","Regístrese por aviso de precios"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","Usted está recibiendo esta notificación debido a que se suscribió para recibir alertas cuando los precios de los productos siguientes fueran modificados:"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","Usted está recibiendo esta notificación debido a que se suscribió para recibir alertas cuando los siguientes productos estubieran en existencias:"
"You will no longer receive stock alerts","Usted ya no recibirá alertas de existencias"
"You will no longer receive stock alerts for this product","Usted ya no recibirá alertas de inventario para este producto"
"You will no longer receive price alerts for this product","Usted ya no recibirá alertas de precios de este producto"
