"Action","Acción"
"File compressed with Zlib, but this extension is not installed on server","Archivo comprimido con Zlib, pero esta extensión no está soportada por el servidor"
"DB","BD"
"Create Backup","Crear respaldo"
"Download","Descargar"
"Backup file ""%s"" doesn't exist","El archivo de respaldo ""%s"" no existe"
"Backup file ""%s"" can't read or write","El archivo de respaldo ""%s"" no se puede leer o escribir"
"Backup file doesn't exist","El archivo de respaldo no existe"
"Error write to Backup file ""%s""","Error de escritura al respaldar archivo ""%s"""
"Unable to create backup. Please, try again later.","Imposible de crear respaldo. Trate más tarde por favor."
"Database was successfuly backed up.","La base de datos fue respaldada exitosamente."
"Backup file handler don't specify","Manejador de archivo de respaldo no especificado"
"Cannot read backup file","No se puede leer el archivo de respaldo"
"Wrong order of creation for new backup","Orden incorrecto en la creación del respaldo nuevo"
"Backups","Respaldos"
"Backup file path don't specify","Ruta de archivo de respaldo no especificada"
"Size, byte","Tamaño, byte"
"Time","Tiempo"
"Type","Tipo"
"All types","Todos los tipos"
