"Continue &raquo;"," Continuar &raquo;"
"-- Please select --","-- Seleccione --"
"Enabled","Activado"
"Currency Update Warnings","Actualización de las Advertencias de Divisas"
"WARNING:","ADVERTENCIA:"
"Strikeiron Email Update Warnings","Advertencias de actualización de email de Strikeiron"
"Country Api","Api de País"
"Region Api","Api de Región"
"Invalid country code: %s","Código de país inválido: %s"
"Currency Setup","Configuración de Divisas"
"Scheduled Import Settings","Configuración de Importación Programada"
"Connection timeout in seconds","Connection timeout in seconds"
"Directory","Directorio"
"Currency","Divisa"
"Base currency","Divisa Base"
"Invalid target currency","Divisa de destino inválida"
"Default display currency","Divisa predeterminada a mostrar"
"Installed Currencies","Divisas instaladas"
"Allowed currencies","Divisas permitidas"
"Remove space from currency sign","Elimine espacios en el signo de la divisa"
"Error Email Template","Error de Plantilla de E-mail"
"Error Email Recipient","Error E-mail Destinatario"
"Error Email Sender","Error Email Remitente"
"FATAL ERROR:","Error Fatal:"
"State/Province","Estado/Provincia"
"Frequency","Frecuencia"
"Start Time","Hora de inicio"
"Country and Format Type combination should be unique","La combinación de País y Tipo de Formato deberá ser único"
"Currency will be used for all online payment transactions","La divisa será utilizada para todas las transacciones en línea"
"List of countries","Lista de países"
"List of regions in specified country","Lista de regiones en países específicos"
"Unable to initialize import model","No se puede inicializar el modelo de importación"
"Cannot retrieve rate from %s","No se puede recuperar la tasa de %s"
"Currency Options","Opciones de Divisas"
"Country","País"
"Region","Región"
"Select Your Currency","Seleccione su Divisas"
"Service","Servicio"
"Invalid Import Service Specified","Servicio de importación especificado inválido"
"Your current currency is: %s","Su tipo de divisas actual es: %s"
"Undefined rate from ""%s-%s""","Tasa indefinida de ""%s-%s"""
"Invalid rates received","Tasas recibidas inválidas"
"Webservicex","Webservicex"
