"Invalid alias, already exists in joined attributes","Alias inválido, ya existe en los atributos asociados"
"Joined field with this alias (%s) is already declared","Asociación de campo con este alias (%s) ya está declarado"
"Joined field with this alias is already declared","Asociación de campo con este alias ya está declarado"
"Joined field or attribute expression with this alias is already declared","Asociación de campo o atributo de expresión con este alias ya está declarado"
"Attribute '%s' used in configurable products.","Atributo '%s' utilizado en los productos configurables."
"Attribute with the same code","Atributo con el mismo código"
"Wrong attribute ID","Atributo ID erróneo"
"Invalid attribute requested: %s","Atributo solicitado inválido: %s"
"Attribute used in configurable products.","Atributo utilizado en los productos configurables."
"Valid store_id is expected!","¡store_id  válido esperado!"
"Invalid joined fields","Campos asociados inválidos"
"Invalid character encountered in increment ID: %s","Carácter inválido encontrado en incremento ID: %s"
"Loaded %d records","Cargado %d registros"
"Invalid data object key","Clave de objeto de datos inválida"
"Invalid foreign key","clave foránea inválida"
"Wrong attribute set ID","Configuración de atributo ID erróneo"
"Default Product Listing Sort by not exists on Available Product Listing Sort by","Default Product Listing Sort by not exists on Available Product Listing Sort by"
"Scope must not be changed, because the attribute is used in configurable products.","El alcance no debe ser cambiado, porque el atributo es usado en la configuración de productos."
"The attribute code '%s' is reserved by system. Please, try another attribute code.","El código del atributo '%s' esta reservado por el sistema. Trate con otro código de atributo por favor."
"Entity collection expected","Entidad de recopilación esperada"
"Invalid entity specified","Entidad especificada inválida"
"Wrong entity ID","Entidad ID errónea"
"Invalid entity supplied","Entidad suministrada inválida"
"Invalid entity supplied: %s","Entidad suministrada inválida:%s"
"Entity collections expected","Entidades de recopilaciones esperadas"
"Invalid entity_type specified: %s","Entity_type especificado inválido: %s"
"Attribute set with the ""%s"" name already exists","Establecer atributo con el ""%s"" nombre ya existe"
"Frontend label is not defined","Etiqueta de portada no está definida"
"Failed to load node %s from config.","Falla al cargar el nodo %s desde config."
"Wrong attribute group ID","Grupo de atributo ID erróneo"
"Saved ","Guardados"
"Attempt to add an invalid object","Inténto de añadir un objeto inválido"
"Data integrity: No header row found for attribute","Integridad de datos: No se encontró el renglón de cabecera para el atributo"
"Invalid entity_id, skipping the record","Inválido entity_id, omitiendo el registro"
"Entity is not initialized","La entidad no está inicializada"
"No","No"
"No options found in config node %s","No se encontraron opciones en el nodo de configuración %s"
"Invalid attribute name: %s","Nombre de atributo inválido: %s"
"Unknown parameter","Parámetro desconocido"
"Problem loading the collection, aborting. Error: %s","Problema al cargar la recopilación, abortando. Error: %s"
"Problem loading a record, aborting. Error: %s","Problema al cargar un registro, abortando. Error: %s"
"Problem saving the collection, aborting. Error: %s","Problema al guardar la recopilación, abortando. Error: %s"
"Problem saving a record, aborting. Error: ","Problema al guardar un registro, abortando. Error: "
"Yes","Sí"
"Invalid store specified","Tienda especificada inválida"
"Invalid attribute type","Tipo de atributo inválido"
"Invalid entity type","Tipo de entidad inválido"
"EAV types and attributes","Tipos y atributos EAV"
"Value of attribute ""%s"" must be unique","Valor de atributo ""%s"" debe ser único"
"Default option value is not defined","Valor de opción predeterminado no está definido"
