"* Required Fields","* Campos Requeridos"
"Add","Agregar"
"Add Gift Message","Agregar mensaje de regalo"
"Item %d of %d","Artículo %d de %d"
"Are you sure?","¿Está seguro?"
"Do you have any gift items in your order?","¿Tiene usted algunos artículos de regalo en su pedido?"
"Cancel","Cancelar"
"Close","Cerrar"
"From","De"
"Unknown entity type","Desconocido tipo de entidad"
"Remove","Eliminar"
"Error while saving gift message","Error al guardar el mensaje de regalo"
"Enter a gift message for each item in your order.","Escriba un mensaje de regalo para cada artículo en su pedido."
"Enter a gift message for this address.","Escriba un mensaje de regalo para esta dirección."
"Enter a gift message for entire order.","Escriba un mensaje de regalo para todo el pedido."
"Save","Guardar"
"Save Gift Message","Guardar mensaje de regalo"
"Check this checkbox if you want to add gift messages to your items.","Marque esta casilla si desea agregar mensajes de regalo a tus artículos."
"Check this checkbox if you want to add gift messages.","Marque esta casilla si desea agregar mensajes de regalo."
"Message","Mensaje"
"Gift Message","Mensaje de regalo"
"Gift message has been successfully saved","Mensaje de regalo se ha guardado con éxito"
"Gift Messages","Mensajes de regalo"
"Edit","Modificar"
"Edit Gift Message","Modificar mensaje de regalo"
"No","No"
"To","Para"
"Allow Gift Messages for Order Items","Permitir Mensajes de Regalo para Pedido de Artículos"
"Allow Gift Messages on Order Level","Permitir Mensajes de Regalo sobre Nivel de Pedido"
"Yes","Sí"
"Your gift message has been successfully removed","Su mensaje de regalo se ha eliminado exitosamente"
"Your gift message successfully removed","Su mensaje de regalo se ha eliminado exitosamente"
"Your gift message has been successfully saved","Su mensaje de regalo se ha guardado exitosamente"
"Your gift message successfully saved","Su mensaje de regalo se ha guardado exitosamente"
"You can leave a box blank if you don't wish to add a gift message for the item.","Usted puede dejar la casilla en blanco si no desea agregar un mensaje de regalo para el artículo."
"You can leave a box blank if you don't wish to add a gift message for whole order.","Usted puede dejar la casilla en blanco si no desea agregar un mensaje de regalo para toda el pedido."
"You can leave a box blank if you don't wish to add a gift message for this address.","Usted puede dejar una casilla en blanco si no desea agregar un mensaje de regalo para esta dirección."
"Use config","Utilización de configuración"
