"Schedule ahead for","Calendario anticipado para"
"Invalid callback: %s::%s does not exist","Callback inválida: %s::%s no existe"
"Cron (Scheduled Tasks) - all the times are in minutes","Cron (Scheduled Tasks) - unidades de tiempo en minutos"
"Invalid model/method definition, expecting ""model/class::method"".","Definición de modelo/método inválido, esperado ""model/class::method""."
"Too late for the schedule","Demasiado tarde para el calendario"
"Daily","Diariamente"
"Unknown error","Error desconocido"
"Failure history lifetime","Fallo en la historia del tiempo"
"Generate schedules every","Generar programas cada"
"Unable to save Cron expression","Imposible de guardar la expresión del Cron"
"Monthly","Mensualmente"
"No callbacks found","Ninguna callback encontrada"
"Missed if not run within","Omitido si no es ejecutado dentro de"
"For correct URLs generated during cron runs please make sure that Web > Secure and Unsecure Base URLs are explicitly set.","Para URLs gederadas correctamente durante la ejecución cron asegurece que Web > Secura e Insegura Base URLs esten explícitamente configuradas."
"Weekly","Semanalmente"
"Success history lifetime","Tiempo de vida del historial de éxito"
"History cleanup every","Vaciar historial cada"
