"-- Please Select --","-- Selecione Por Favor --"
"Attributes","Atributos"
"Shopping Cart","Carrito de Compra"
"Conversion Page","Conversión de Página"
"Conversion Page URL","Conversión de Página URL"
"Conversion Script","Conversión Script"
"Please copy and paste this value to experiment edit form","Copiar y Pegar este valor para experimentar forma de modificar por favor"
"Limit is 8 attributes only.","El límite es de 8 atibutos únicamente."
"Enable","Habilitar"
"Install Scripts","Instalar Scripts"
"Scripts Install URL","Instalar Scripts URL"
"Multi Address Checkout","Multi Direcciones de Pago"
"Category View Optimization","Optimización de la Categoría de Vista"
"Page View Optimization","Optimización de Vista de Página"
"Product View Optimization","Optimización de Vista de Producto"
"Google Website Optimizer","Optimizador de Google de sitio web"
"Google Optimizer Scripts","Optimizador de Scripts de Google"
"Other","Otro"
"Original Page","Página Original"
"Variant Page","Página Variant"
"Tracking Script","Rastreo del Script"
"Order Success (Multi Address Checkout)","Realización de pedido (Múlti Derecciones de Pago)"
"Order Success (One Page Checkout)","Realización de pedido (Una Página de Pago)"
"Account Registration","Registro de Cuenta"
"Control Script","Script de Control"
"Please select store view to see the URL","Seleccione Vista de la Tienda para ver la URL"
"Page Type","Tipo de Página"
"All fields of script types have to be filled.","Todos los campos de los tipos script deben ser llenados."
"One Page Checkout","Una Página de Pago"
"Use Default","Usar Predeterminado"
"Use Default Values","Utilizar Valores Predeterminado"
